Concept,NarrowerConcept
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_clients
http://dbpedia.org/resource/Category:Cloud_clients,http://dbpedia.org/resource/Category:CyanogenMod
http://dbpedia.org/resource/Category:Cloud_clients,http://dbpedia.org/resource/Category:MeeGo
http://dbpedia.org/resource/Category:MeeGo,http://dbpedia.org/resource/Category:MeeGo_devices
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Free_software_for_cloud_computing
http://dbpedia.org/resource/Category:Free_software_for_cloud_computing,http://dbpedia.org/resource/Category:Open-source_cloud_applications
http://dbpedia.org/resource/Category:Open-source_cloud_applications,http://dbpedia.org/resource/Category:Open-source_hosted_development_tools
http://dbpedia.org/resource/Category:Free_software_for_cloud_computing,http://dbpedia.org/resource/Category:Open-source_cloud_hosting_services
http://dbpedia.org/resource/Category:Free_software_for_cloud_computing,http://dbpedia.org/resource/Category:Nextcloud
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Web_desktops
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_gaming
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_robotics
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:As_a_service
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_applications
http://dbpedia.org/resource/Category:Cloud_applications,http://dbpedia.org/resource/Category:Salesforce
http://dbpedia.org/resource/Category:Cloud_applications,http://dbpedia.org/resource/Category:Cloud_gaming
http://dbpedia.org/resource/Category:Cloud_applications,http://dbpedia.org/resource/Category:Open-source_cloud_applications
http://dbpedia.org/resource/Category:Cloud_applications,http://dbpedia.org/resource/Category:Cloud_browsers
http://dbpedia.org/resource/Category:Cloud_applications,http://dbpedia.org/resource/Category:Oracle_Cloud_Services
http://dbpedia.org/resource/Category:Cloud_applications,http://dbpedia.org/resource/Category:Online_office_suites
http://dbpedia.org/resource/Category:Online_office_suites,http://dbpedia.org/resource/Category:Office_365
http://dbpedia.org/resource/Category:Online_office_suites,http://dbpedia.org/resource/Category:Online_spreadsheets
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_computing_providers
http://dbpedia.org/resource/Category:Cloud_computing_providers,http://dbpedia.org/resource/Category:Alibaba_Cloud
http://dbpedia.org/resource/Category:Cloud_computing_providers,http://dbpedia.org/resource/Category:Google_Cloud
http://dbpedia.org/resource/Category:Cloud_computing_providers,http://dbpedia.org/resource/Category:Salesforce
http://dbpedia.org/resource/Category:Cloud_computing_providers,http://dbpedia.org/resource/Category:IBM_cloud_services
http://dbpedia.org/resource/Category:Cloud_computing_providers,http://dbpedia.org/resource/Category:Open-source_cloud_hosting_services
http://dbpedia.org/resource/Category:Cloud_computing_providers,http://dbpedia.org/resource/Category:Oracle_Cloud_Services
http://dbpedia.org/resource/Category:Cloud_computing_providers,http://dbpedia.org/resource/Category:Amazon_Web_Services
http://dbpedia.org/resource/Category:Cloud_computing_providers,http://dbpedia.org/resource/Category:Microsoft_cloud_services
http://dbpedia.org/resource/Category:Microsoft_cloud_services,http://dbpedia.org/resource/Category:Office_365
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Diskless_workstations
http://dbpedia.org/resource/Category:Diskless_workstations,http://dbpedia.org/resource/Category:Network_computer_(brand)
http://dbpedia.org/resource/Category:Diskless_workstations,http://dbpedia.org/resource/Category:Thin_clients
http://dbpedia.org/resource/Category:Thin_clients,http://dbpedia.org/resource/Category:Cloud_clients
http://dbpedia.org/resource/Category:Thin_clients,http://dbpedia.org/resource/Category:Nettop
http://dbpedia.org/resource/Category:Nettop,http://dbpedia.org/resource/Category:MSI_nettops
http://dbpedia.org/resource/Category:Diskless_workstations,http://dbpedia.org/resource/Category:Network_booting
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_standards
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_databases
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_storage
http://dbpedia.org/resource/Category:Cloud_storage,http://dbpedia.org/resource/Category:Streaming
http://dbpedia.org/resource/Category:Cloud_storage,http://dbpedia.org/resource/Category:Cloud_databases
http://dbpedia.org/resource/Category:Cloud_storage,http://dbpedia.org/resource/Category:Cloud_storage_gateways
http://dbpedia.org/resource/Category:Cloud_storage,http://dbpedia.org/resource/Category:Nextcloud
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_platforms
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Alibaba_Cloud
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Google_Cloud
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:IBM_cloud_services
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Cloud_databases
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Cloud_communication_platforms
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Open-source_cloud_hosting_services
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Oracle_Cloud_Services
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Amazon_Web_Services
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Microsoft_cloud_services
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Serverless_computing
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_infrastructure
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Alibaba_Cloud
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Google_Cloud
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Cloud_infrastructure_attacks_and_failures
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:IBM_cloud_services
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Oracle_Cloud_Services
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Amazon_Web_Services
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Microsoft_cloud_services
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_storage_gateways
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Nextcloud
